# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
      1568-154-53169 0.393780 1.473690 0.293447 0.560000 3897.566392  E    M 1.530600 1.473690 0.293447
      1568-154-53169 1.517200 0.723026 0.116399 0.280000 7039.098080  B    M 1.530600 0.723026 0.116399
      1568-210-53169 0.515190 1.533801 0.330652 0.510000 4237.077316  D    M 1.528800 1.533801 0.330652
      1568-210-53169 0.515680 1.703526 0.393883 0.510000 4238.447552  D    M 1.528800 1.703526 0.393883
      1568-216-53169 0.841030 0.746865 0.142312 0.230000 5148.256292  C    M 3.111100 0.746865 0.142312
      1006-326-52708 1.416410 0.597581 0.106356 0.320000 6757.248924  D    M 1.451000 0.597581 0.106356
      1006-241-52708 0.688160 0.692470 0.117287 0.210000 4720.770624  D    M 2.036600 0.692470 0.117287
      1006-462-52708 0.889220 1.035348 0.250368 0.330000 5283.014808  D    M 2.136800 1.035348 0.250368
      1006-623-52708 1.593900 0.910212 0.136474 0.270000 7253.581960  C    M 3.600200 0.910212 0.136474
       1006-81-52708 0.590040 2.349626 0.508792 0.450000 4446.387856  E    M 1.923500 2.349626 0.508792
      1006-493-52708 0.662160 0.721952 0.175675 0.200000 4648.064224  D    M 1.844900 0.721952 0.175675
      1006-400-52708 0.715100 0.254796 0.059472 0.130000 4796.105640  C    M 2.117100 0.254796 0.059472
      1006-400-52708 0.798930 1.169028 0.077268 0.120000 5030.527852 C*    M 2.117100 1.169028 0.077268
      1006-561-52708 0.676550 0.119889 0.028630 0.150000 4688.304420  D    M 2.016400 0.119889 0.028630
      1006-534-52708 0.471550 0.369678 0.078828 0.190000 4115.042420  C    M 2.060000 0.369678 0.078828
      1006-474-52708 0.796970 0.579309 0.071788 0.120000 5025.046908  C    M 2.342100 0.579309 0.071788
       407-192-51820 1.110230 0.721248 0.159224 0.240000 5901.047172  C    M 1.418300 0.721248 0.159224
       407-285-51820 1.608330 0.645240 0.106965 0.110000 7293.934012  D    M 2.175700 0.645240 0.106965
        407-76-51820 1.814520 0.836377 0.196481 0.170000 7870.523728 C*    M 2.255900 0.836377 0.196481
       407-511-51820 0.709780 0.492461 0.100013 0.210000 4781.228792  C    M 1.752800 0.492461 0.100013
       407-511-51820 0.860560 0.521886 0.104270 0.210000 5202.869984  C    M 1.752800 0.521886 0.104270
       407-579-51820 1.382230 0.133488 0.026446 0.100000 6661.667972  D    M 2.062200 0.133488 0.026446
       407-587-51820 1.056050 0.327813 0.056905 0.120000 5749.538220 C*    M 2.014900 0.327813 0.056905
