      0655-172-52162 1.9305   C 1  0.2 1
      0655-177-52162 1.4707   B 1  0.1 1
      0655-051-52162 1.2917   A 1  0.9 1
      0655-051-52162 1.2064   A 1  1.0 1
      0419-373-51879 0.9239   A 1  1.0 1
      0419-362-51879 1.1639   C 1  0.9 1
      0418-012-51817 1.8699   A 1  1.0 1
      0418-012-51817 1.3699   A 1  1.0 1
      0419-250-51879 0.7270   C 1  0.8 1
      0393-423-51794 1.2283   A 1  1.0 1
      0393-423-51794 0.9478   A 1  1.0 1
      0419-257-51879 0.7335   C 1  0.4 1
      0419-257-51879 1.7506   A 1  1.0 1
      0419-420-51879 0.9909   D 1  0.1 0
      0393-419-51794 0.7876   B 1  0.7 1
      0419-418-51879 0.3899   D 1  0.2 0
      0419-418-51879 1.7416   A 1  1.0 1
      0419-418-51879 0.9518   C 1  0.9 1
      0393-181-51794 1.3035   B 1  0.9 1
      0656-252-52148 1.1989   E 1  0.2 0
      0656-252-52148 0.5004   D 1  0.0 0
      0656-470-52148 0.4321   D 1  0.3 0
      0655-635-52162 1.5439   A 1  0.9 1
      0655-635-52162 0.7513   A 1  0.9 1
      0419-495-51879 1.2871   D 1  0.1 0
      0419-484-51879 0.4988   C 1  0.1 0
      0419-484-51879 0.8556   C 1  0.5 0
      0419-484-51879 1.9901   D 1  0.0 0
      0419-484-51879 1.1206   D 1  0.1 0
      0656-475-52148 1.1113   C 1  1.0 1
      0393-497-51794 0.7520   B 1  0.8 0
      0393-497-51794 0.3967   D 1  0.3 0
      0393-497-51794 1.2289   A 1  1.0 1
      0393-495-51794 1.6038   C 1  0.2 0
      0393-495-51794 1.9597   A 1  0.9 1
      0419-520-51879 0.8372   D 1  0.1 0
      0656-195-52148 1.2928   B 1  0.5 0
      0656-214-52148 1.0132   D 1  0.2 0
      0656-214-52148 1.8182   A 1  0.9 1
      0419-148-51879 1.2114   A 1  1.0 1
      0393-122-51794 1.7569   C 1  0.4 1
      0656-494-52148 0.4372   C 1  0.2 0
      0656-494-52148 0.7130   C 1  0.0 0
      0656-494-52148 1.5872  C* 1  0.3 0
      0656-494-52148 1.4171   A 1  1.0 1
      0656-407-52148 1.7975   C 1  0.1 0
      0419-144-51879 0.6895   A 1  1.0 1
      0419-104-51879 1.1211   D 1  0.7 1
      0419-109-51879 2.0223   D 1  0.1 0
      0419-106-51879 0.5807   D 1  0.3 1
      0393-572-51794 0.4750   B 1  1.0 1
      0393-572-51794 0.5024   B 1  0.7 0
      0393-572-51794 1.4852   A 1  1.0 1
      0393-572-51794 0.4711   C 1  0.3 0
      0393-572-51794 1.1135   A 1  1.0 1
      0393-572-51794 1.8792   A 1  1.0 1
      0419-560-51879 1.1464   A 1  1.0 1
      0419-560-51879 1.7803  C* 1  0.0 0
      0393-551-51794 0.4545   C 1  0.9 1
      0394-353-51913 1.6989   A 1  0.9 1
      0656-132-52148 1.0533   C 1  0.9 1
      0656-132-52148 1.3165   C 1  1.0 1
      0393-611-51794 0.5933   C 1  0.3 0
      0419-056-51879 1.5156   A 1  0.9 1
      0393-079-51794 1.7832   A 1  1.0 1
      0393-062-51794 0.6985   B 1  1.0 1
      0393-062-51794 1.7694   A 1  0.7 1
      0393-589-51794 1.2292   A 1  1.0 1
      0419-578-51879 1.9117   B 1  0.1 1
      0419-054-51879 0.7634   C 1  1.0 1
      0419-054-51879 1.3292   A 1  1.0 1
      0393-588-51794 0.7551   A 1  1.0 1
      0393-588-51794 0.3874   D 1  0.2 0
      0393-588-51794 0.7922  C* 1  0.2 1
      0419-075-51879 1.2806   A 1  1.0 1
      0419-606-51879 1.3267   C 1  0.6 0
      0656-531-52148 0.6081   A 1  1.0 1
      0656-531-52148 0.8950   E 1  0.1 0
      0656-531-52148 1.0625  E* 1  0.1 0
      0420-304-51871 1.6563   A 1  1.0 1
      0420-304-51871 1.7821   C 1  0.1 0
      0394-329-51913 1.2214   A 1  1.0 1
      0394-329-51913 1.3729   C 1  0.8 1
      0394-329-51913 1.8680   B 1  0.6 0
      0394-329-51913 1.4008   A 1  1.0 1
      0394-329-51913 1.0511   D 1  0.1 0
      0394-329-51913 0.7440   A 1  1.0 1
      0394-288-51913 0.4996   B 1  1.0 1
      0394-288-51913 1.8449   D 1  0.0 0
      0656-556-52148 1.2316   E 1  0.0 0
      0656-537-52148 0.5560   D 1  0.1 0
      0656-537-52148 1.5028   C 1  0.8 1
      0656-537-52148 0.8329   C 1  0.8 1
      0656-110-52148 0.3983   D 1  0.1 0
